University,Abbreviation,Department,Course title,Unit,Professor,Objective,Prerequisite,Required Skills,Outcome,References,Scores,Description,Projects,University Homepage,Course Homepage,Professor Homepage
Queens University,queenSU,Anatomy and Cell Biology (ANAT),Anatomy of the Human Body,3.00,,,,,,,,"This anatomy course is designed to introduce students to the basic structure and functional relationship of the human body. Through a series of weekly learning modules, students will learn about the basic language of Gross Anatomy and Histology in order to understand the working of various body systems. This course is also suitable for individuals who have a general interest in human anatomy.",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anatomy and Cell Biology (ANAT),Introductory Human Anatomy,3.00,,,,,,,,"A basic anatomy course with an emphasis on clinical relevance of structure and function of human body systems. 
RECOMMENDATION 4U Biology.",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anatomy and Cell Biology (ANAT),Principles of Human Morphology I,3.00,,,,,,,,"The general principles of human structure and function as appreciated through a survey of the morphological sciences, including: history of anatomy; embryology; neuroanatomy; developmental, microscopic and gross anatomy of the locomotor system.
NOTE Priority will be given to students registered in a LISC Specialization Plan.",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anatomy and Cell Biology (ANAT),Principles of Human Morphology II,3.00,,,,,,,,"The general principles of human structure and function as appreciated through a survey of the development, microscopic and gross anatomy of the body systems: cardiovascular, respiratory, immune/lymphatic, endocrine, digestive and genitourinary.
NOTE Priority will be given to students registered in a LISC Specialization Plan.",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anatomy and Cell Biology (ANAT),Human Anatomy and Morphology,3.00,,,,,,,,"This course is designed to introduce the foundations of human structure and function to students at all levels of post-secondary education. Through a series of learning modules, students will develop an understanding of the architecture of the human body through interactive study using a virtual cadaver. This course will survey the gross and microscopic anatomy of the body organ systems including the skeletal, muscular, nervous, endocrine, cardiovascular, lymphatic/immune, respiratory, digestive, urinary and reproductive systems.
NOTE Only offered online. Consult the Bachelor of Health Sciences program office.
NOTE May not be taken for credit towards the Plan requirements of the LISC Specialization or Major Plans.
LEARNING HOURS 120 (60O;60P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anatomy and Cell Biology (ANAT),Functional Histology,3.00,,,,,,,,"Introduction to mammalian histology, or microscopic anatomy, a branch of anatomical sciences focusing on structures and functions of tissues and cells at the light and electron microscope level. Structure-function relationships within many tissues and organs at the cell and tissue level will be a focus.
NOTE Priority will be given to students registered in a LISC Specialization Plan or Health Sciences plan.
LEARNING HOURS 120 (36L;24Lb;60P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anatomy and Cell Biology (ANAT),Functional Neuroanatomy,3.00,,,,,,,,"Study of the structure and function of the nervous system by lectures, hands-on laboratories, brain dissection, and readings. Topics include, but are not limited to, sensory and motor systems, brain imaging, and clinical examples.",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anatomy and Cell Biology (ANAT),The Human Musculoskeletal System,3.00,,,,,,,,"Gross and functional anatomy of the back, body wall, upper and lower limbs, including blood supply and neural controls.",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anatomy and Cell Biology (ANAT),The Human Visceral Systems,3.00,,,,,,,,"Gross and functional anatomy of the thorax, abdomen and pelvis, head and neck.",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
Queens University,queenSU,Anatomy and Cell Biology (ANAT),Clinically Relevant Human Anatomy,3.00,,,,,,,,"ANAT 380 will explore regional anatomy of the human body focusing on the major organ systems, their components, and the relationships between them. In this course, students will apply anatomical knowledge to collaboratively solve case-based clinical scenarios, and develop a realistic clinical case based on an underlying anatomical issue.
Note: Also offered online.
LEARNING HOURS may vary 120(48O;72P)",https://me.queensu.ca/Graduate/MEng/Projects.html,https://www.queensu.ca/,https://www.queensu.ca/academic-calendar/arts-science/course-descriptions/anat/,https://www.queensu.ca/english/people
